customerID,gender,SeniorCitizen,Partner,Dependents,Day,year,month
7590-VHVEG,Female,,Yes,No,29,1998,1
5575-GNVDE,Male,,No,No,12,1983,9
3668-QPYBK,Male,,No,No,15,1996,5
7795-CFOCW,Male,,No,No,19,2001,2
9237-HQITU,Female,,No,No,23,1980,12
9305-CDSKC,Female,,No,No,22,1989,5
1452-KIOVK,Male,,No,Yes,16,1989,9
6713-OKOMC,Female,,No,No,1,1981,8
7892-POOKP,Female,,Yes,No,9,2000,11
6388-TABGU,Male,,No,Yes,16,1997,3
9763-GRSKD,Male,,Yes,Yes,21,2008,4
7469-LKBCI,Male,,No,No,10,1985,10
8091-TTVAX,Male,,Yes,No,7,1999,6
0280-XJGEX,Male,,No,No,27,1990,6
5129-JLPIS,Male,,No,No,19,1982,1
3655-SNQYZ,Female,,Yes,Yes,15,2000,2
8191-XWSZG,Female,,No,No,7,1992,3
9959-WOFKT,Male,,No,Yes,24,1984,6
4190-MFLUW,Female,,Yes,Yes,30,1982,11
4183-MYFRB,Female,,No,No,16,2010,10
8779-QRDMV,Male,,No,No,24,1997,1
1680-VDCWW,Male,,Yes,No,13,1992,2
1066-JKSGK,Male,,No,No,7,1993,2
3638-WEABW,Female,,Yes,No,5,1995,4
6322-HRPFA,Male,,Yes,Yes,17,2010,9
6865-JZNKO,Female,,No,No,27,1989,11
6467-CHFZW,Male,,Yes,Yes,20,1980,9
8665-UTDHZ,Male,,Yes,Yes,10,1990,11
5248-YGIJN,Male,,Yes,No,2,1994,12
8773-HHUOZ,Female,,No,Yes,24,1986,12
3841-NFECX,Female,,Yes,No,27,2001,10
4929-XIHVW,Male,,Yes,No,24,2006,9
6827-IEAUQ,Female,,Yes,Yes,2,2009,7
7310-EGVHZ,Male,,No,No,30,2003,9
3413-BMNZE,Male,,No,No,23,1984,11
6234-RAAPL,Female,,Yes,Yes,30,2006,7
6047-YHPVI,Male,,No,No,24,2006,2
6572-ADKRS,Female,,No,No,4,1993,12
5380-WJKOV,Male,,No,No,17,1983,10
8168-UQWWF,Female,,No,No,1,2003,4
8865-TNMNX,Male,,Yes,Yes,1,2003,3
9489-DEDVP,Female,,Yes,Yes,24,2012,10
9867-JCZSP,Female,,Yes,Yes,30,1998,6
4671-VJLCL,Female,,No,No,25,1989,6
